epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.30601,1.47226,4.15888,1.19301,0.00719,0.25,0.01649,0.012,0.67034,3.95986,0.84447,2.222e-05,2.222e-05,2.222e-05
2,1.74143,1.6483,4.32267,1.21242,0.00783,0.23,0.02262,0.01797,0.65938,3.965,0.84566,5.44501e-05,5.44501e-05,5.44501e-05
3,2.28403,1.35317,4.14863,1.15843,0.0115,0.355,0.04144,0.02793,0.46264,3.88966,0.81738,8.53604e-05,8.53604e-05,8.53604e-05
4,2.97211,0.85645,3.54928,0.9285,0.01437,0.58,0.08701,0.06247,0.49857,3.78447,0.8075,0.000114951,0.000114951,0.000114951
5,3.50955,0.77485,2.87413,0.85216,0.01765,0.85,0.18455,0.15798,0.4884,3.69336,0.79906,0.000143221,0.000143221,0.000143221
6,4.04393,0.68966,2.48098,0.85131,0.01719,0.91,0.23802,0.2109,0.4619,3.6523,0.78998,0.000170172,0.000170172,0.000170172
7,4.57098,0.81414,2.44303,0.88184,0.01649,0.905,0.24032,0.20076,0.50626,3.61235,0.79794,0.000195803,0.000195803,0.000195803
8,5.07337,0.64777,2.12496,0.83905,0.01661,0.905,0.26867,0.22868,0.53684,3.60232,0.80127,0.000220114,0.000220114,0.000220114
9,5.59967,0.68379,2.14401,0.84896,0.01599,0.93,0.30012,0.25141,0.54903,3.54555,0.80615,0.000243105,0.000243105,0.000243105
10,6.15689,0.64393,2.05649,0.85707,0.01545,0.93,0.32321,0.27248,0.51457,3.52128,0.80291,0.000264776,0.000264776,0.000264776
11,6.68562,0.60769,1.87617,0.84151,0.01445,0.89,0.3424,0.2966,0.47588,3.48076,0.79544,0.000285127,0.000285127,0.000285127
12,7.19749,0.58906,1.84384,0.8112,0.01451,0.89,0.39145,0.33925,0.48095,3.45733,0.79458,0.000304158,0.000304158,0.000304158
